date,n_obs,n_null,n_outlier,mean_all,mean_clean,std_clean,outlier_pct
2025-07-25,182596,8990,46876,-149723.33,0.0006022962043061852,0.21012817323207855,24.467341037445326
2025-07-28,182427,9179,48147,66047.33,0.000931279850192368,0.2084563672542572,25.128127511664562
2025-07-29,183492,8096,50540,-266555.66,-0.0003850048524327576,0.21186566352844238,26.37952272584922
2025-07-30,183846,7761,54456,-29660.52,-0.00019159793737344444,0.21450024843215942,28.420673566205828
2025-07-31,185162,6464,58678,1247953.5,0.002979366574436426,0.21787674725055695,30.621105695469296
2025-08-01,185977,5653,62022,652592.44,-0.0010434836149215698,0.21837198734283447,32.36549600793195
2025-08-04,183988,7633,50351,-325189.34,-0.010020245797932148,0.21351251006126404,26.276347581945615
2025-08-05,184176,7443,53228,503164.22,-0.0035643221344798803,0.2142368108034134,27.77803871223626
2025-08-06,183922,7681,51249,710045.44,-0.0004121222591493279,0.2123168259859085,26.747493515237235
2025-08-07,184084,7520,52973,-106956.34,0.0015203866641968489,0.21224366128444672,27.647126364794055
2025-08-08,182326,9287,47772,-92236.02,-0.000463211938040331,0.20851078629493713,24.93150255984719
2025-08-11,182684,8928,48847,163040.6,-0.0009459896828047931,0.21159859001636505,25.49266225497359
2025-08-12,182631,8985,50566,23872.035,-0.006557108834385872,0.21209852397441864,26.38923680694723
2025-08-13,183366,8254,52359,-3778.4963,-0.008718091063201427,0.2139962762594223,27.324392025884563
2025-08-14,182479,9139,46279,40350.594,-0.006527060642838478,0.20925191044807434,24.151697648446387
2025-08-15,182015,9594,44905,406175.97,-0.004174917005002499,0.20733541250228882,23.435746755110667
2025-08-18,181872,9729,46242,228005.92,-0.0017715246649459004,0.20999111235141754,24.13452956926112
2025-08-19,182615,8999,48323,-427692.38,-0.003161883447319269,0.21119891107082367,25.21892972329788
2025-08-20,183671,7956,51142,541647.06,-0.005408246535807848,0.2129027545452118,26.68830592766155
2025-08-21,182227,9386,47364,172146.02,-0.005403266288340092,0.21020136773586273,24.718573374457893
2025-08-22,182737,8869,49337,-581109.75,-0.007110141683369875,0.20938386023044586,25.749193657818648
2025-08-25,181826,9766,46741,1013973.5,0.0023253594990819693,0.2107764482498169,24.396112572550003
2025-08-26,181642,9976,45236,-644623.0,-0.0020734197460114956,0.2090899646282196,23.60738552745567
2025-08-27,181507,10075,46073,-246832.08,-0.00777130201458931,0.2108837217092514,24.048710212859245
2025-08-28,181814,9782,47043,-248784.1,-0.00953072402626276,0.21076366305351257,24.55322658093071
2025-08-29,181969,9612,48302,-415422.53,-0.0019595385529100895,0.21238084137439728,25.21231228566507
2025-09-02,184185,7442,55634,288100.22,0.0043892101384699345,0.21730808913707733,29.032443236078425
2025-09-03,183062,8545,55497,-157528.44,0.00037814449751749635,0.21616728603839874,28.9639731325056
2025-09-04,182615,9008,53686,-1531234.1,-0.00559372128918767,0.21568238735198975,28.016469839215542
